playerID,yearID,stint,teamID,lgID,G,AB,R,H,B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,SLG,OBP,OPS
acunaro01,2019,1,ATL,NL,156,626,127,175,110,22,2,41,101.0,37.0,9.0,76,188.0,4.0,9.0,0.0,1.0,8.0,0.2795527156549521,0.5175718849840255,0.3651685393258427,0.8827404243098682
adamsma01,2019,1,WAS,NL,111,310,42,70,36,14,0,20,56.0,0.0,0.0,20,115.0,1.0,2.0,0.0,1.0,7.0,0.22580645161290322,0.4645161290322581,0.27627627627627627,0.7407924053085344
aguilje01,2019,1,MIL,NL,94,222,26,50,33,9,0,8,34.0,0.0,0.0,31,59.0,0.0,2.0,0.0,4.0,11.0,0.22522522522522523,0.3738738738738739,0.3204633204633205,0.6943371943371943
ahmedni01,2019,1,ARI,NL,158,556,79,141,83,33,6,19,82.0,8.0,2.0,52,113.0,2.0,4.0,1.0,12.0,15.0,0.25359712230215825,0.4370503597122302,0.3157051282051282,0.7527554879173584
albieoz01,2019,1,ATL,NL,160,640,102,189,114,43,8,24,86.0,15.0,4.0,54,112.0,6.0,4.0,0.0,4.0,2.0,0.2953125,0.5,0.35185185185185186,0.8518518518518519
alfarjo01,2019,1,MIA,NL,130,431,44,113,80,14,1,18,57.0,4.0,4.0,22,154.0,1.0,10.0,0.0,2.0,12.0,0.26218097447795824,0.4245939675174014,0.3118279569892473,0.7364219245066488
almoral01,2019,1,CHN,NL,130,339,41,80,56,11,1,12,32.0,2.0,1.0,16,62.0,4.0,1.0,5.0,2.0,8.0,0.2359882005899705,0.3805309734513274,0.2709497206703911,0.6514806941217185
alonspe01,2019,1,NYN,NL,161,597,103,155,70,30,2,53,120.0,1.0,0.0,72,183.0,6.0,21.0,0.0,3.0,13.0,0.25963149078726966,0.5829145728643216,0.3578643578643579,0.9407789307286795
anderbr06,2019,1,MIA,NL,126,459,57,120,66,33,1,20,66.0,5.0,1.0,44,114.0,1.0,14.0,0.0,3.0,15.0,0.26143790849673204,0.4684095860566449,0.3423076923076923,0.8107172783643373
aquinar01,2019,1,CIN,NL,56,205,31,53,26,8,0,19,47.0,7.0,0.0,16,60.0,2.0,2.0,0.0,2.0,5.0,0.25853658536585367,0.5756097560975609,0.31555555555555553,0.8911653116531164
arciaor01,2019,1,MIL,NL,152,494,51,110,78,16,1,15,59.0,8.0,5.0,43,109.0,5.0,1.0,2.0,6.0,15.0,0.22267206477732793,0.35020242914979755,0.28308823529411764,0.6332906644439151
arenano01,2019,1,COL,NL,155,588,102,185,111,31,2,41,118.0,3.0,2.0,62,93.0,11.0,4.0,0.0,8.0,14.0,0.31462585034013607,0.5833333333333334,0.37915407854984895,0.9624874118831823
avilaal01,2019,1,ARI,NL,63,164,22,34,17,8,0,9,24.0,1.0,0.0,36,68.0,7.0,1.0,0.0,0.0,8.0,0.2073170731707317,0.42073170731707316,0.35323383084577115,0.7739655381628443
baderha01,2019,1,SLN,NL,128,347,54,71,42,14,3,12,39.0,11.0,3.0,46,117.0,4.0,10.0,1.0,2.0,3.0,0.20461095100864554,0.3659942363112392,0.3135802469135803,0.6795744832248194
baezja01,2019,1,CHN,NL,138,531,89,149,78,38,4,29,85.0,11.0,7.0,28,156.0,3.0,0.0,0.0,2.0,16.0,0.2806026365348399,0.5310734463276836,0.3155080213903743,0.8465814677180579
barneau01,2019,1,LAN,NL,75,212,28,43,25,12,1,5,25.0,3.0,0.0,23,56.0,3.0,5.0,0.0,2.0,8.0,0.2028301886792453,0.33962264150943394,0.29338842975206614,0.6330110712615
barnhtu01,2019,1,CIN,NL,114,316,32,73,48,14,0,11,40.0,1.0,0.0,44,83.0,7.0,2.0,1.0,1.0,5.0,0.2310126582278481,0.379746835443038,0.3278236914600551,0.7075705269030931
beatyma01,2019,1,LAN,NL,99,249,36,66,37,19,1,9,46.0,5.0,0.0,17,33.0,2.0,2.0,0.0,0.0,6.0,0.26506024096385544,0.4578313253012048,0.31716417910447764,0.7749955044056824
bellico01,2019,1,LAN,NL,156,558,121,170,86,34,3,47,115.0,15.0,5.0,95,108.0,21.0,3.0,0.0,4.0,10.0,0.3046594982078853,0.6290322580645161,0.40606060606060607,1.0350928641251222
belljo02,2019,1,PIT,NL,143,527,94,146,69,37,3,37,116.0,0.0,1.0,74,118.0,13.0,5.0,0.0,7.0,11.0,0.27703984819734345,0.5692599620493358,0.367047308319739,0.9363072703690748
beltbr01,2019,1,SFN,NL,156,526,76,123,71,32,3,17,57.0,4.0,3.0,83,127.0,3.0,3.0,0.0,4.0,6.0,0.2338403041825095,0.40304182509505704,0.3392857142857143,0.7423275393807713
bertijo01,2019,1,MIA,NL,73,256,52,70,49,14,1,6,24.0,17.0,3.0,24,73.0,0.0,6.0,0.0,1.0,2.0,0.2734375,0.40625,0.34843205574912894,0.7546820557491289
blackch02,2019,1,COL,NL,140,580,112,182,101,42,7,32,86.0,2.0,5.0,40,104.0,1.0,9.0,0.0,5.0,11.0,0.3137931034482759,0.5758620689655173,0.3643533123028391,0.9402153812683565
boteda01,2019,1,CHN,NL,127,303,47,78,50,17,0,11,41.0,5.0,1.0,44,93.0,4.0,7.0,0.0,2.0,11.0,0.25742574257425743,0.42244224422442245,0.36235955056179775,0.7848017947862203
