Year,Total Batters,Mean AB,Mean H,Mean BA
1871,115,10822,3101,0.28654592496765846
1872,156,15595,4448,0.2852196216736133
1873,124,16908,4910,0.2903950792524249
1874,122,18891,5173,0.2738341008946059
1875,216,26788,6802,0.25391966552187545
1876,123,19979,5298,0.2651784373592272
1877,97,13422,3637,0.2709730293547906
1878,79,13568,3517,0.2592128537735849
1879,126,24142,6168,0.25548836053351004
1880,134,24297,5945,0.24468041321973907
1881,131,24034,6202,0.25805109428309897
1882,251,41274,10207,0.24729854145466879
1883,282,57666,14828,0.25713592064648144
1884,783,109260,26583,0.24330038440417354
1885,352,62720,15305,0.24402104591836735
1886,350,72924,17974,0.24647578300696615
1887,332,74272,20106,0.27070766910814303
1888,351,75075,17925,0.23876123876123875
1889,341,76292,20127,0.26381534105804016
1890,576,113236,29471,0.2602617542124413
1891,409,77619,19705,0.25386825390690426
1892,311,63801,15634,0.24504318114136142
1893,285,56872,15907,0.27969826979884654
1894,294,57538,17804,0.3094302895477771
1895,304,56785,16826,0.2963106454169235
1896,294,55514,16129,0.2905393234139136
1897,279,56653,16519,0.291582087444619
1898,322,62569,16934,0.27064520769070943
1899,347,62407,17623,0.2823881936321246
1900,194,39117,10923,0.27923920546054143
1901,411,76529,20767,0.2713611833422624
1902,454,76278,20350,0.2667872781142662
1903,399,74950,19665,0.26237491661107404
1904,405,81909,20215,0.2467982761357116
1905,406,81232,20128,0.2477841244829624
1906,436,80041,19738,0.2465986182081683
1907,446,79808,19571,0.2452260425020048
1908,469,80179,19154,0.23889048254530487
1909,542,80526,19637,0.24385912624493952
1910,538,81548,20332,0.24932555059596803
1911,566,82257,21914,0.2664089378411564
1912,629,81986,22027,0.26866782133534994
1913,615,81196,21015,0.25881816838267896
1914,796,122513,31110,0.2539322357627354
1915,795,121541,30426,0.2503352778074888
1916,564,81915,20284,0.24762253555514863
1917,515,81948,20369,0.24856006247864498
1918,505,67313,17085,0.2538142706460862
1919,533,74579,19607,0.26290242561578997
1920,514,84153,23269,0.2765082647083289
1921,519,85142,24780,0.2910431984214606
1922,512,85341,24612,0.2883959644250712
1923,529,85228,24217,0.28414370864035293
1924,546,84655,24269,0.28668123560333114
1925,556,85401,24907,0.2916476387864311
1926,525,83743,23503,0.28065629366036565
1927,540,83814,23771,0.28361610232180784
1928,529,83941,23587,0.28099498457249733
1929,529,85014,24591,0.28925823981932386
1930,530,86001,25418,0.2955547028522924
1931,508,86548,24025,0.27759162545639415
1932,526,87182,24106,0.2765020302355991
1933,490,85192,22964,0.2695558268382008
1934,520,85633,23892,0.2790045893522357
1935,512,85792,23876,0.27830100708690786
1936,510,87513,24826,0.28368356701290093
1937,525,85952,23768,0.2765264333581534
1938,529,84980,23283,0.27398211343845613
1939,578,84878,23371,0.27534814675180846
1940,540,86001,23002,0.26746200625574124
1941,581,85842,22530,0.2624589361850842
1942,538,83731,21176,0.2529051366877262
1943,556,84697,21466,0.25344463204127654
1944,568,85664,22307,0.2604011019798282
1945,578,84431,21974,0.26025985716146915
1946,681,84325,21555,0.2556181440853839
1947,581,84436,22003,0.2605879008953527
1948,572,84379,22228,0.26343047440713924
1949,572,84373,22168,0.26273807971744517
1950,576,84821,22559,0.26596008064040744
1951,615,84915,22149,0.2608373078961314
1952,631,84194,21272,0.2526545834620044
1953,585,84997,22459,0.2642328552772451
1954,575,83468,21777,0.26090238175109026
1955,654,82988,21421,0.2581216561430568
1956,620,83247,21453,0.25770298028757793
1957,614,84291,21667,0.2570499816113227
1958,637,83226,21425,0.25743157186456156
1959,631,83665,21413,0.2559373692703042
1960,636,83424,21262,0.25486670502493286
1961,697,96429,24869,0.25789959452032063
1962,759,110096,28330,0.2573208835925011
1963,751,109183,26842,0.24584413324418636
1964,753,109894,27482,0.25007734726190695
1965,750,109169,26771,0.245225292894503
1966,773,108864,27039,0.24837411816578484
1967,785,108605,26280,0.24197780949311726
1968,714,108016,25536,0.2364094208265442
1969,931,130740,32417,0.24795013002906532
1970,918,131624,33401,0.2537607123320975
1971,882,130049,32385,0.24902152265684474
1972,888,124379,30315,0.24373085488707902
1973,891,131971,33892,0.2568139970144956
1974,913,131916,33878,0.25681494284241485
1975,906,131008,33754,0.25764838788470934
1976,885,131254,33536,0.2555045941457022
1977,983,143975,38037,0.26419169994790764
1978,959,141567,36508,0.2578849590653189
1979,960,142792,37911,0.2654980671186061
1980,949,144160,38144,0.26459489456159824
1981,943,94467,24157,0.2557189283030053
1982,991,144149,37651,0.26119501349298296
1983,1005,143538,37443,0.26085775195418637
1984,983,143829,37381,0.259898907730708
1985,997,143075,36778,0.25705399266119167
1986,1016,143106,36880,0.2577110673207273
1987,1047,144095,37895,0.2629862243658697
1988,1034,142568,36244,0.2542225464339824
1989,1072,142816,36293,0.25412418776607665
1990,1114,142768,36817,0.2578799170682506
1991,1085,142968,36558,0.2557075709249622
1992,1065,142895,36544,0.2557402288393576
1993,1179,154995,41088,0.2650924223362044
1994,1029,110266,29743,0.26973863203526016
1995,1252,138571,36975,0.26683072215687265
1996,1252,156801,42320,0.269896237906646
1997,1235,155400,41461,0.2668018018018018
1998,1321,166872,44421,0.26619804400978
1999,1298,167080,45318,0.27123533636581276
2000,1383,167075,45187,0.27045937453239566
2001,1338,166233,43879,0.26396082606943266
2002,1318,165582,43272,0.2613327535601696
2003,1346,166720,44055,0.2642454414587332
2004,1345,167353,44522,0.26603646185010127
2005,1329,166268,43975,0.2644826424808141
2006,1376,167339,45073,0.2693514363059418
2007,1384,167783,44977,0.2680664906456554
2008,1384,166713,43972,0.26375867508832546
2009,1387,165849,43524,0.2624314888844672
2010,1355,165353,42554,0.25735245202687584
2011,1388,165705,42267,0.25507377568570655
2012,1407,165251,42063,0.2545400632976502
2013,1408,166070,42093,0.25346540615403146
2014,1434,165614,41595,0.2511563032110812
2015,1485,165487,42106,0.2544369044094098
2016,1482,165560,42276,0.2553515341870017
2017,1493,165567,42215,0.25497230728345627
2018,1534,164933,40886,0.2478945996253024
2019,1568,166651,42039,0.25225771222494914
2020,1359,59030,14439,0.2446044384211418
2021,1360,59030,14439,0.2446044384211418
