playerID,yearID,stint,teamID,lgID,G,AB,R,H,B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,SLG,OBP,OPS
abreujo02,2019,1,CHA,AL,159,634,85,180,108,38,1,33,123.0,2.0,2.0,36,152.0,4.0,13.0,0.0,10.0,24.0,0.28391167192429023,0.5031545741324921,0.33044733044733043,0.8336019045798225
adamewi01,2019,1,TBA,AL,152,531,69,135,89,25,1,20,52.0,4.0,2.0,46,153.0,1.0,3.0,3.0,1.0,9.0,0.2542372881355932,0.4180790960451977,0.31669535283993117,0.7347744488851289
adriaeh01,2019,1,MIN,AL,84,202,34,55,39,8,3,5,22.0,0.0,2.0,20,40.0,1.0,6.0,2.0,4.0,2.0,0.2722772277227723,0.4158415841584158,0.34913793103448276,0.7649795151928986
alberha01,2019,1,BAL,AL,139,524,62,160,125,21,2,12,51.0,4.0,4.0,16,50.0,1.0,4.0,3.0,3.0,9.0,0.3053435114503817,0.4217557251908397,0.3290676416819013,0.750823366872741
allengr01,2019,1,CLE,AL,89,231,30,53,37,9,3,4,27.0,8.0,2.0,11,53.0,1.0,9.0,4.0,1.0,3.0,0.22943722943722944,0.3463203463203463,0.2896825396825397,0.636002886002886
alonsyo01,2019,1,CHA,AL,67,219,23,39,26,6,0,7,27.0,0.0,1.0,29,53.0,2.0,1.0,0.0,2.0,8.0,0.1780821917808219,0.3013698630136986,0.2749003984063745,0.5762702614200731
altuvjo01,2019,1,HOU,AL,124,500,89,149,88,27,3,31,74.0,6.0,5.0,41,82.0,0.0,3.0,1.0,3.0,19.0,0.298,0.55,0.35283363802559414,0.9028336380255941
alvaryo01,2019,1,HOU,AL,87,313,58,98,45,26,0,27,78.0,0.0,0.0,52,94.0,4.0,2.0,0.0,2.0,9.0,0.31309904153354634,0.6549520766773163,0.41192411924119243,1.0668761959185087
anderti01,2019,1,CHA,AL,123,498,81,167,117,32,0,18,56.0,17.0,5.0,15,109.0,0.0,3.0,0.0,2.0,12.0,0.3353413654618474,0.5080321285140562,0.35714285714285715,0.8651749856569133
andruel01,2019,1,TEX,AL,147,600,81,165,122,27,4,12,72.0,31.0,8.0,34,96.0,1.0,4.0,0.0,10.0,16.0,0.275,0.3933333333333333,0.3132716049382716,0.7066049382716049
arraelu01,2019,1,MIN,AL,92,326,54,109,84,20,1,4,28.0,2.0,2.0,36,29.0,1.0,1.0,0.0,3.0,2.0,0.3343558282208589,0.4386503067484663,0.3989071038251366,0.8375574105736029
astudwi01,2019,1,MIN,AL,58,190,28,51,38,9,0,4,21.0,0.0,0.0,5,8.0,0.0,5.0,0.0,4.0,6.0,0.26842105263157895,0.37894736842105264,0.29901960784313725,0.6779669762641899
bauerja01,2019,1,CLE,AL,117,372,46,84,55,16,1,12,43.0,3.0,3.0,45,115.0,0.0,3.0,0.0,3.0,3.0,0.22580645161290322,0.3709677419354839,0.3120567375886525,0.6830244795241364
beckhgo01,2019,1,DET,AL,83,223,29,48,27,13,2,6,15.0,3.0,1.0,13,68.0,0.0,4.0,0.0,0.0,6.0,0.21524663677130046,0.3721973094170404,0.2708333333333333,0.6430306427503737
beckhti01,2019,1,SEA,AL,88,304,39,72,35,21,1,15,47.0,1.0,3.0,21,102.0,0.0,3.0,0.0,0.0,7.0,0.23684210526315788,0.4605263157894737,0.2926829268292683,0.753209242618742
beninan01,2019,1,BOS,AL,138,541,72,144,86,40,5,13,68.0,10.0,3.0,59,140.0,1.0,7.0,3.0,5.0,6.0,0.266173752310536,0.43068391866913125,0.3431372549019608,0.773821173571092
bettsmo01,2019,1,BOS,AL,150,597,135,176,102,40,5,29,80.0,16.0,3.0,97,101.0,6.0,3.0,0.0,9.0,11.0,0.2948073701842546,0.52428810720268,0.3909348441926346,0.9152229513953146
bichebo01,2019,1,TOR,AL,46,196,32,61,32,18,0,11,21.0,4.0,4.0,14,50.0,0.0,1.0,0.0,1.0,2.0,0.3112244897959184,0.5714285714285714,0.3584905660377358,0.9299191374663072
